IDośrodka;Nazwaośrodka;Kodpocztowy;Miasto;Ulica;Numer
1;CKMP;20-750;Warszawa;Metalurgiczna;7H
2;Politechnika Lubelska;20-618;Lublin;Nadbystrzycka;36B
3;LSS;20-950;Chełm;Plac Kochanowskiego;1
4;Softmark;20-640;Lublin;Abramowicka;13
5;EuroSoft;21-150;Lubartów;Lubelska;20
6;Sonet Plus;20-750;Poznań;Świętoduska;8
7;AlfaNetwork;-;Lublin;Bernardyńska;1
8;LNA Soft;20-045;Katowice;Spokojna;22
9;Multimedia Soft;20-650;Lublin;Wojciechowska;11
10;Atena;-;Krasnystaw;Zamojska;10
11;Arka;22-618;Parczew;Wschodnia;5
12;Future;22-950;Chełm;Zachodnia;1
13;Arkus;39-200;Dębica;Robotnicza;3b
14;Fokus;38-550;Krosno;Leśna;12
15;PlusNet;37-420;Leżajsk;Długa;9
